Data	Feature	F1-score	AUROC	Weighted F1	Precision	Recall	Accuracy	AUPRC	Correlation	Parameters
5S_334	pos1	0.8505	0.8782	0.8175	0.8416	0.8677	0.8204	0.9153	0.6647	{'max_depth': 5}
5S_334	pos2	0.866	0.9101	0.8349	0.8699	0.8728	0.8383	0.9393	0.7144	{'max_depth': 20}
5S_334	pos3	0.8432	0.8942	0.7993	0.8254	0.8727	0.8053	0.9341	0.6821	{'max_depth': 20}
5S_334	pos23	0.859	0.9026	0.8215	0.8461	0.8828	0.8263	0.9362	0.7001	{'max_depth': None}
5S_334	word1	0.8955	0.9482	0.8523	0.8559	0.9492	0.8618	0.9639	0.7906	{'max_depth': None}
5S_334	word2	0.7604	0.8796	0.5316	0.6174	0.9899	0.6317	0.9092	0.6295	{'max_depth': 20}
5S_334	word3	0.742	0.7996	0.4377	0.5898	1.0	0.5898	0.8213	0.374	{'max_depth': None}
5S_334	word23	0.7491	0.8683	0.4704	0.5989	1.0	0.6048	0.8944	0.6056	{'max_depth': None}
5S_334	dep1	0.86	0.9024	0.82	0.8487	0.8832	0.8264	0.9363	0.7074	{'max_depth': None}
5S_334	dep2	0.8576	0.913	0.8174	0.8487	0.8782	0.8233	0.947	0.724	{'max_depth': None}
5S_334	dep3	0.8629	0.9074	0.8146	0.8153	0.9238	0.8232	0.9423	0.6968	{'max_depth': 20}
5S_334	dep23	0.869	0.9121	0.829	0.8457	0.9036	0.8352	0.9471	0.7121	{'max_depth': 20}
5S_334	tense	0.6755	0.602	0.5831	0.6417	0.7204	0.5957	0.696	0.1814	{'max_depth': 5}
5S_334	mood	0.8418	0.9084	0.8125	0.8505	0.8426	0.8145	0.9405	0.7517	{'max_depth': 5}
5S_334	voice	0.8968	0.9405	0.8763	0.8985	0.8981	0.8771	0.9604	0.7763	{'max_depth': 20}
5S_334	tense_mood_voice	0.9108	0.9624	0.8944	0.9241	0.9029	0.895	0.9772	0.8371	{'max_depth': 20}
5S_334	pos_tense	0.8501	0.882	0.8182	0.8445	0.8626	0.8205	0.9137	0.6777	{'max_depth': None}
5S_334	pos_mood	0.8593	0.9176	0.8324	0.8824	0.8522	0.8354	0.9464	0.7636	{'max_depth': 5}
5S_334	pos_voice	0.8753	0.9405	0.8513	0.8925	0.8672	0.8531	0.9621	0.7785	{'max_depth': None}
5S_334	pos_tense_mood_voice	0.9026	0.9522	0.8852	0.9198	0.8927	0.8861	0.9699	0.8238	{'max_depth': 20}
5S_334	pos_tense_mood_voice_quoted	0.9063	0.9557	0.8882	0.9146	0.9029	0.8891	0.9718	0.8273	{'max_depth': 20}
5S_334	pos_dep_tense_mood_voice	0.8918	0.9465	0.8691	0.9001	0.8927	0.8711	0.9667	0.8073	{'max_depth': 20}
5S_334	all_categories	0.9091	0.9575	0.8872	0.905	0.9185	0.8891	0.9731	0.8267	{'max_depth': 5}
5S_334	all_categories_best	0.8992	0.9419	0.8706	0.8819	0.9237	0.874	0.9654	0.7854	{'max_depth': 20}
