Data	Feature	R2-score	F1-score	AUROC	Weighted F1	Precision	Recall	Accuracy	AUPRC	Correlation	Parameters
5S_325	word1	0.5052	0.772	0.838	0.7746	0.7504	0.8028	0.7754	0.7969	0.724	{}
5S_325	tfidf	0.6837	0.8659	0.8993	0.8553	0.8128	0.9469	0.8585	0.8689	0.8389	{}
5S_325	doc2vec	-1.5284	0.5285	0.5606	0.5481	0.5143	0.5516	0.5508	0.508	0.1326	{}
5S_325	improved_concreteness	0.344	0.768	0.8522	0.7371	0.6895	0.8806	0.7446	0.8586	0.6051	{}
5S_325	doc2vec_concreteness	-1.4829	0.5119	0.5747	0.5553	0.5265	0.4994	0.5569	0.5343	0.1315	{}
5S_325	tfidf_concreteness	0.6862	0.856	0.9034	0.8465	0.8174	0.9142	0.8492	0.8723	0.8344	{}
5S_325	doc2vec_ttr_concreteness	-1.5186	0.5062	0.5715	0.5452	0.5183	0.4989	0.5477	0.5281	0.1234	{}
5S_325	tense_mood_voice	0.6456	0.8442	0.9122	0.8448	0.8374	0.8682	0.8462	0.8916	0.8091	{}
5S_325	tfidf_doc2vec	0.0212	0.703	0.7371	0.6641	0.6076	0.8413	0.6738	0.6946	0.5333	{}
5S_325	tfidf_doc2vec_concreteness	0.1151	0.7034	0.7411	0.6781	0.6247	0.809	0.6831	0.7049	0.5598	{}
5S_325	tfidf_doc2vec_word1	0.5106	0.7845	0.8523	0.7597	0.7029	0.9006	0.7662	0.8132	0.7348	{}
5S_325	tfidf_word1_concreteness	0.5106	0.7845	0.8523	0.7597	0.7029	0.9006	0.7662	0.8132	0.7348	{}
5S_325	word1_doc2vec_concreteness	0.5106	0.7845	0.8523	0.7597	0.7029	0.9006	0.7662	0.8132	0.7348	{}
5S_325	word1_doc2vec_tfidf_concreteness	0.5106	0.7845	0.8523	0.7597	0.7029	0.9006	0.7662	0.8132	0.7348	{}
