Data	Feature	R2-score	F1-score	AUROC	Weighted F1	Precision	Recall	Accuracy	AUPRC	Correlation	Parameters
5S_325	word1	0.3334	0.6472	0.8512	0.7216	0.879	0.5194	0.7354	0.8367	0.6447	{}
5S_325	tfidf	0.5897	0.7248	0.927	0.7739	0.8893	0.6237	0.7815	0.913	0.788	{}
5S_325	doc2vec	-1.9916	0.4837	0.5877	0.562	0.5375	0.4469	0.5723	0.5366	0.152	{}
5S_325	improved_concreteness	0.352	0.5473	0.8524	0.6675	0.9162	0.4002	0.6985	0.8586	0.6124	{}
5S_325	doc2vec_concreteness	-1.7795	0.4656	0.5741	0.5627	0.5566	0.4071	0.5785	0.5197	0.1896	{}
5S_325	tfidf_concreteness	0.5968	0.7238	0.925	0.7731	0.8855	0.6297	0.7815	0.9142	0.7801	{}
5S_325	doc2vec_ttr_concreteness	-1.7152	0.4874	0.6076	0.5657	0.5657	0.4402	0.5785	0.5545	0.2109	{}
5S_325	tense_mood_voice	0.5012	0.6584	0.9203	0.7365	0.9133	0.5376	0.7538	0.9049	0.7418	{}
5S_325	tfidf_doc2vec	0.0691	0.6655	0.8235	0.716	0.7939	0.5914	0.7231	0.8042	0.5951	{}
5S_325	tfidf_doc2vec_concreteness	0.1294	0.6159	0.8365	0.6882	0.8089	0.5194	0.7015	0.8154	0.6147	{}
5S_325	tfidf_doc2vec_word1	0.3771	0.7184	0.883	0.7683	0.8756	0.6174	0.7754	0.8666	0.6928	{}
5S_325	tfidf_word1_concreteness	0.3771	0.7184	0.883	0.7683	0.8756	0.6174	0.7754	0.8666	0.6928	{}
5S_325	word1_doc2vec_concreteness	0.3771	0.7184	0.883	0.7683	0.8756	0.6174	0.7754	0.8666	0.6928	{}
5S_325	word1_doc2vec_tfidf_concreteness	0.3771	0.7184	0.883	0.7683	0.8756	0.6174	0.7754	0.8666	0.6928	{}
